"mz","intensity","rt"
185.1176,148933,1039
185.1546,405120,730
185.1896,22203,180
186.0849,196381,184
186.085,13459,55
186.113,2179927,219
186.1131,128202,54
186.1211,39099,357
186.9986,12511,643
186.9985,11275,495
186.998,14883,379
187.0448,56227,359
187.0609,1663299,52
187.0974,50072425,241
187.0975,5912119,881
187.0972,337235,454
187.0974,413955,581
187.0973,265860,1079
187.1336,7927262,435
187.207,2167867,234
187.2071,55586,926
187.2433,154942,437
187.313,984776,241
187.3499,23700,430
187.9672,56690,568
187.9671,24433,791
188.035,85662,499
188.093,115206,357
188.0925,16956,75
188.1005,471340,925
188.1009,4993985,232
188.1371,354724,409
188.1377,435569,434
188.8975,57548,1175
188.9507,40587,216
189.0554,13278,402
189.0766,402271,52
189.1024,572746,239
189.1122,121294,262
189.1274,34668,613
190.9479,25459,215
191.0565,14127,46
191.0709,12574,311
191.0924,13988,51
191.1075,565612,608
191.1188,23076,520
192.0567,63990,507
192.0659,19745,258
192.0666,3616192,433
192.1107,37546,598
193.0505,613967,185
193.0503,215458,54
193.0509,29879,375
193.0656,72626,644
193.0866,1261405,600
193.0858,289518,425
193.0891,212425,412
193.0876,144104,686
194.0455,234040,463
194.0607,348844,414
194.082,2679996,650
194.0902,80940,665
194.1947,50060,651
194.927,448319,44
195.0298,1060224,281
195.0301,32186792,840
195.0444,791053,531
195.0415,316985,305
195.0658,1127445,222
195.0658,1907877,628
195.0642,735918,53
195.0689,293770,412
195.0852,159640,648
195.0925,39808,447
195.1022,48599,271
195.142,714281,842
195.2497,172932,844
195.9125,252822,370
196.0251,45283,196
196.0248,14630,396
196.0252,74480,52
196.0329,2384095,842
196.0329,46663,566
196.0487,131294,528
196.0694,23268,641
196.069,28718,214
196.134,36780,464
196.9102,47668,52
196.9857,231377,344
197.009,30937,284
197.0221,10857,51
197.0279,584870,842
197.0449,253842,699
197.0603,920259,524
197.0817,121587,53
197.0817,104016,179
197.1082,17898,632
197.1178,523181,419
197.1908,13969,660
197.8078,295036,293
197.8518,10962,59
197.9103,249383,373
198.0402,162082,383
198.0635,31389,511
198.1135,367192,435
199.0429,443572,309
199.0545,188528,452
199.0603,114442,51
199.0764,60075,568
199.0973,678568,248
199.0973,635957,53
199.134,1529845,456
199.1339,618485,912
199.1337,192283,1032
199.1451,13381,296
199.1701,12040110,770
199.2832,142457,806
199.8049,22996,258
199.8513,76735,1163
199.9063,66655,355
200.0286,323511,343
200.0555,45899,46
200.1004,36222,256
200.1292,311970,261
200.1366,11609,929
200.1291,194731,379
200.1736,1790895,800
200.8925,13605,677
200.9958,10522,621
201.0228,11314,151
201.0304,65620,340
201.0377,51785,48
201.0762,2375446,52
201.1131,16056855,322
201.1126,106334,923
201.1131,49739,1026
201.1494,2809012,496
201.2268,559532,303
201.264,13963,492
201.3372,122090,313
201.8925,54679,1134
202.08,14063,52
202.1123,203017,434
202.1164,2154039,298
202.1526,147103,497
203.0921,702941,52
203.0923,136151,188
203.1077,11993,588
203.1193,66864,316
204.1241,7398050,134
204.2385,102772,134
204.3497,33662,146
204.9227,43755,186
205.0147,12096,264
205.0862,35644,655
205.0868,131030,317
205.0982,39540,321
205.1268,463797,139
205.1277,81562,129
205.1598,981333,612
205.2751,20421,613
206.0726,142936,539
206.0818,16549,277
206.1289,10658,134
206.1625,84473,625
206.9978,39630,474
207.0119,56032,249
207.0301,10572,510
207.0662,14955,338
207.0654,10403,53
207.0698,536106,1053
207.1023,24129,311
207.1021,33159,561
207.1028,17379,1005
207.1387,10142,569
208.0611,38878,520
208.0768,15733,471
208.0979,690991,708
208.0982,157937,412
208.9954,24950,477
209.0452,62831,51
209.0449,74202,253
209.0609,219084,602
209.0853,15140857,455
209.0944,68272,308
209.0887,4305976,448
209.1171,51656,689
209.1175,10130,326
209.1177,26851,531
209.1183,100767,677
209.1191,23230,330
209.1547,535592,453
209.2015,518154,442
209.3128,164886,452
209.4153,53767,442
209.9481,31680,47
210.0069,41313,442
210.0759,31479,575
210.0767,272052,444
210.0885,1901340,457
210.1358,45947,486
210.1495,21170,528
210.158,43739,450
210.8962,312943,1173
210.9799,24039877,644
211.0358,58349,349
211.0378,36569,53
211.0397,127014,517
211.0609,188108,162
211.0606,33506,51
211.0817,2573414,553
211.0823,853422,453
211.0975,1183888,188
211.0976,552140,54
211.0977,622781,288
211.0962,831249,647
211.1128,282384,704
211.134,554776,476
211.1341,437702,857
211.1703,35715,782
211.2091,231410,650
211.3122,16430,621
211.9836,2120089,647
212.0719,13562,596
212.09,281810,545
212.1003,99680,197
212.9773,8487351,647
213.0553,1202882,571
213.0552,323229,365
213.067,216985,674
213.0692,30963,533
213.0767,649779,52
213.0942,99349,649
213.1133,1486608,325
213.1249,13194,473
213.1498,563001,542
213.1498,131695,1026
213.1493,78915,924
213.1497,73929,1111
213.1861,1696323,841
213.2077,12856,621
213.2672,37989,465
213.9638,822897,212
213.9637,1011926,52
213.9809,428514,649
214.032,85625,338
214.0508,8018443,619
214.0591,45020,582
214.1089,85344,287
214.1444,2269909,335
214.1532,21752,569
214.1534,165968,465
214.1692,245339,627
214.1891,53442,855
214.2808,99877,626
214.9345,14777,309
214.9662,29376,52
215.054,1019182,626
215.0922,1580675,52
215.0921,187376,173
215.1273,11447,995
215.1285,16481735,396
215.1285,448212,911
215.1288,83429,1031
215.1461,66525,337
215.1556,50585,648
215.1647,1784627,550
215.2466,1318833,371
215.2831,38685,509
215.3601,422019,372
215.9599,29941,52
215.9816,893203,521
216.0559,58673,626
216.0807,304552,766
216.0961,54474,52
216.1141,21760,383
216.132,4893556,366
216.1684,503852,507
216.8541,2921371,1164
216.9325,14670,307
216.966,395492,322
217.0423,485754,719
217.0429,10182,263
217.0658,1434261,702
