"mz","intensity","rt"
159.1021,28505,41
159.1023,3154,143
159.1023,13300,158
159.8455,9371,43
159.8456,37442,7
160.0402,16590,149
160.0403,201336,65
160.0404,31211,63
160.0405,45266,60
160.0405,93380,54
160.0406,9246,37
160.0407,41323,45
160.0408,7273,89
160.8411,203558,18
160.8413,398833,28
160.8413,550125,8
160.9447,6306,24
160.9561,4639,111
160.9763,2851,937
160.9769,3638,90
161.0234,16502,95
161.0242,3413,141
161.0247,13888,203
161.0599,10722,150
161.0603,4791,215
161.0968,2343,301
161.842,7784,44
162.0191,4242,54
162.0195,14152,83
162.032,9596,132
162.8377,3553,180
162.8385,424929,27
162.8387,224151,18
162.8388,773298,8
162.9408,5488,24
163.0071,2125,55
163.0071,14622,314
163.0105,150659,39
163.0353,13962,132
163.0396,6921,354
163.0398,62106,75
163.8393,3571,42
163.9991,7670,42
164.071,13428,153
164.0711,8710,63
164.0718,3052,660
164.8356,54768,17
164.8358,159853,8
164.8359,113599,24
164.9865,10963,242
164.9982,6621,139
164.9985,10897,3
164.9985,4969,174
164.9986,13744,97
165.0192,225454,65
165.0399,3752,844
165.0404,3090,565
165.0406,8172,782
165.0411,9778,802
165.0417,3693,610
165.0549,4387,174
165.055,26328,109
165.0554,5737,46
165.0556,3581,133
165.0918,11679,304
165.9964,2224,107
166.0153,3959,39
166.0267,9320,178
166.0268,7187,206
166.0505,28283,193
166.0628,11443,340
166.0636,9557,414
166.8328,12452,22
166.9943,3656,97
167.0223,125389,41
167.0308,29070,56
167.0328,3211,206
167.0334,49118,58
167.0334,8666,26
167.0335,27373,226
167.034,5289,80
167.0341,4078,264
167.0341,16444,52
167.0342,10736,241
167.0344,3054,45
167.0345,2299504,129
167.0345,56284,64
167.0348,14265,249
167.0349,4078,57
167.035,31880,55
167.0368,3310,259
167.1074,29084,524
167.1076,46379,562
167.1393,48529,126
167.1433,14632,321
167.1435,14334,398
167.2392,4023,131
167.9963,5594,45
168.0666,3468,41
168.0807,3385,364
168.0809,5427,337
168.8358,0,1
168.836,75004,24
168.9136,7116,20
168.9139,3500,36
168.9816,49153,51
168.9888,6390,93
169.0864,24924,139
169.1225,4019,104
169.123,4803,139
169.123,4300,375
169.1591,6863,190
170.8325,0,1
170.8326,27581,24
170.9114,4813,15
171.1004,0,704
171.1005,0,730
171.1005,12379,714
171.1006,0,986
171.1007,10467,287
171.1007,10616,314
171.1008,8097,88
171.1009,9180,10
171.1009,9883,64
171.1011,3164,258
171.1011,3282,238
171.1015,19080,246
171.1017,21838,73
171.1017,7540,309
171.1019,30464,45
171.102,5541,455
171.1021,96067,913
171.1022,24863,805
171.1023,24745,158
171.1023,13693,322
